entry_date,status,skip_reason,expiry_date,next_trading_day,spot_signal_timestamp,spot_signal_close,spot_sma_25,spot_signal_relation,atm_strike,sold_side,sold_contract_name,sold_option_entry_timestamp,sold_option_entry_open,sold_option_exit_timestamp,sold_option_exit_open,hedge_strike,hedge_contract_name,hedge_option_entry_timestamp,hedge_option_entry_open,hedge_option_exit_timestamp,hedge_option_exit_open,gross_pnl,brokerage,net_pnl,remarks
2025-01-01,TRADED,,2025-01-02,2025-01-02,2025-01-01T15:15:00+05:30,23758.7,23718.99,ABOVE_SMA,23750,PE,NIFTY_23750_PE_02_JAN_25.csv,2025-01-01T15:29:00+05:30,95.9,2025-01-02T09:16:00+05:30,85.45,23550,NIFTY_23550_PE_02_JAN_25.csv,2025-01-01T15:29:00+05:30,39.65,2025-01-02T09:16:00+05:30,31.6,-1040.00,100.00,-1140.00,
2025-01-02,TRADED,,2025-01-09,2025-01-03,2025-01-02T15:15:00+05:30,24167.95,24012.97,ABOVE_SMA,24150,PE,NIFTY_24150_PE_09_JAN_25.csv,2025-01-02T15:29:00+05:30,168.6,2025-01-03T09:16:00+05:30,188.8,23950,NIFTY_23950_PE_09_JAN_25.csv,2025-01-02T15:29:00+05:30,96.1,2025-01-03T09:16:00+05:30,108.8,-7475.00,100.00,-7575.00,
2025-01-03,TRADED,,2025-01-09,2025-01-06,2025-01-03T15:15:00+05:30,23990.15,24065.33,BELOW_SMA,24000,CE,NIFTY_24000_CE_09_JAN_25.csv,2025-01-03T15:29:00+05:30,147.94,2025-01-06T09:16:00+05:30,165.9,24200,NIFTY_24200_CE_09_JAN_25.csv,2025-01-03T15:29:00+05:30,72.59,2025-01-06T09:16:00+05:30,80.4,-9197.50,100.00,-9297.50,
2025-01-06,TRADED,,2025-01-09,2025-01-07,2025-01-06T15:15:00+05:30,23629.6,23748.89,BELOW_SMA,23650,CE,NIFTY_23650_CE_09_JAN_25.csv,2025-01-06T15:29:00+05:30,185.05,2025-01-07T09:16:00+05:30,223.6,23850,NIFTY_23850_CE_09_JAN_25.csv,2025-01-06T15:29:00+05:30,100.8,2025-01-07T09:16:00+05:30,120.95,-14560.00,100.00,-14660.00,
2025-01-07,TRADED,,2025-01-09,2025-01-08,2025-01-07T15:15:00+05:30,23694.6,23727.07,BELOW_SMA,23700,CE,NIFTY_23700_CE_09_JAN_25.csv,2025-01-07T15:29:00+05:30,117.65,2025-01-08T09:16:00+05:30,103.7,23900,NIFTY_23900_CE_09_JAN_25.csv,2025-01-07T15:29:00+05:30,42.5,2025-01-08T09:16:00+05:30,35.15,1690.00,100.00,1590.00,
2025-01-08,TRADED,,2025-01-09,2025-01-09,2025-01-08T15:15:00+05:30,23675.2,23611.72,ABOVE_SMA,23700,PE,NIFTY_23700_PE_09_JAN_25.csv,2025-01-08T15:29:00+05:30,77.55,2025-01-09T09:16:00+05:30,103.65,23500,NIFTY_23500_PE_09_JAN_25.csv,2025-01-08T15:29:00+05:30,18.85,2025-01-09T09:16:00+05:30,20.3,-18622.50,100.00,-18722.50,
2025-01-09,TRADED,,2025-01-16,2025-01-10,2025-01-09T15:15:00+05:30,23557.2,23561.38,BELOW_SMA,23550,CE,NIFTY_23550_CE_16_JAN_25.csv,2025-01-09T15:29:00+05:30,209.0,2025-01-10T09:16:00+05:30,188.85,23750,NIFTY_23750_CE_16_JAN_25.csv,2025-01-09T15:29:00+05:30,110.45,2025-01-10T09:16:00+05:30,97.7,2210.00,100.00,2110.00,
2025-01-10,TRADED,,2025-01-16,2025-01-13,2025-01-10T15:15:00+05:30,23437.35,23475.84,BELOW_SMA,23450,CE,NIFTY_23450_CE_16_JAN_25.csv,2025-01-10T15:29:00+05:30,165.35,2025-01-13T09:16:00+05:30,81.15,23650,NIFTY_23650_CE_16_JAN_25.csv,2025-01-10T15:29:00+05:30,77.55,2025-01-13T09:16:00+05:30,35.29,24661.00,100.00,24561.00,
2025-01-13,TRADED,,2025-01-16,2025-01-14,2025-01-13T15:15:00+05:30,23088.7,23198.22,BELOW_SMA,23100,CE,NIFTY_23100_CE_16_JAN_25.csv,2025-01-13T15:29:00+05:30,154.19,2025-01-14T09:16:00+05:30,195.3,23300,NIFTY_23300_CE_16_JAN_25.csv,2025-01-13T15:29:00+05:30,63.0,2025-01-14T09:16:00+05:30,81.45,-17329.00,100.00,-17429.00,
2025-01-14,TRADED,,2025-01-16,2025-01-15,2025-01-14T15:15:00+05:30,23206.85,23183.34,ABOVE_SMA,23200,PE,NIFTY_23200_PE_16_JAN_25.csv,2025-01-14T15:29:00+05:30,63.75,2025-01-15T09:16:00+05:30,57.95,23000,NIFTY_23000_PE_16_JAN_25.csv,2025-01-14T15:29:00+05:30,23.15,2025-01-15T09:16:00+05:30,19.7,-1072.50,100.00,-1172.50,
2025-01-15,TRADED,,2025-01-16,2025-01-16,2025-01-15T15:15:00+05:30,23228.1,23219.45,ABOVE_SMA,23250,PE,NIFTY_23250_PE_16_JAN_25.csv,2025-01-15T15:29:00+05:30,72.8,2025-01-16T09:16:00+05:30,19.55,23050,NIFTY_23050_PE_16_JAN_25.csv,2025-01-15T15:29:00+05:30,16.3,2025-01-16T09:16:00+05:30,3.15,23465.00,100.00,23365.00,
2025-01-16,TRADED,,2025-01-23,2025-01-17,2025-01-16T15:15:00+05:30,23350.8,23312.68,ABOVE_SMA,23350,PE,NIFTY_23350_PE_23_JAN_25.csv,2025-01-16T15:29:00+05:30,176.6,2025-01-17T09:16:00+05:30,236.55,23150,NIFTY_23150_PE_23_JAN_25.csv,2025-01-16T15:29:00+05:30,102.9,2025-01-17T09:16:00+05:30,140.69,-17004.00,100.00,-17104.00,
2025-01-17,TRADED,,2025-01-23,2025-01-20,2025-01-17T15:15:00+05:30,23203.1,23197.05,ABOVE_SMA,23200,PE,NIFTY_23200_PE_23_JAN_25.csv,2025-01-17T15:29:00+05:30,148.94,2025-01-20T09:16:00+05:30,120.75,23000,NIFTY_23000_PE_23_JAN_25.csv,2025-01-17T15:29:00+05:30,79.3,2025-01-20T09:16:00+05:30,60.55,3536.00,100.00,3436.00,
2025-01-20,TRADED,,2025-01-23,2025-01-21,2025-01-20T15:15:00+05:30,23337.05,23312.84,ABOVE_SMA,23350,PE,NIFTY_23350_PE_23_JAN_25.csv,2025-01-20T15:29:00+05:30,133.8,2025-01-21T09:16:00+05:30,111.6,23150,NIFTY_23150_PE_23_JAN_25.csv,2025-01-20T15:29:00+05:30,63.15,2025-01-21T09:16:00+05:30,51.2,4062.50,100.00,3962.50,
2025-01-21,TRADED,,2025-01-23,2025-01-22,2025-01-21T15:15:00+05:30,23053.05,23199.63,BELOW_SMA,23050,CE,NIFTY_23050_CE_23_JAN_25.csv,2025-01-21T15:29:00+05:30,139.8,2025-01-22T09:16:00+05:30,134.75,23250,NIFTY_23250_CE_23_JAN_25.csv,2025-01-21T15:29:00+05:30,54.3,2025-01-22T09:16:00+05:30,50.95,-1495.00,100.00,-1595.00,
2025-01-22,TRADED,,2025-01-23,2025-01-23,2025-01-22T15:15:00+05:30,23161.75,23072.46,ABOVE_SMA,23150,PE,NIFTY_23150_PE_23_JAN_25.csv,2025-01-22T15:29:00+05:30,54.1,2025-01-23T09:16:00+05:30,65.25,22950,NIFTY_22950_PE_23_JAN_25.csv,2025-01-22T15:29:00+05:30,13.75,2025-01-23T09:16:00+05:30,11.1,-11570.00,100.00,-11670.00,
2025-01-23,TRADED,,2025-01-30,2025-01-24,2025-01-23T15:15:00+05:30,23216.3,23224.13,BELOW_SMA,23200,CE,NIFTY_23200_CE_30_JAN_25.csv,2025-01-23T15:29:00+05:30,223.2,2025-01-24T09:16:00+05:30,230.15,23400,NIFTY_23400_CE_30_JAN_25.csv,2025-01-23T15:29:00+05:30,122.15,2025-01-24T09:16:00+05:30,127.2,-3835.00,100.00,-3935.00,
2025-01-24,TRADED,,2025-01-30,2025-01-27,2025-01-24T15:15:00+05:30,23090.35,23198.75,BELOW_SMA,23100,CE,NIFTY_23100_CE_30_JAN_25.csv,2025-01-24T15:29:00+05:30,176.0,2025-01-27T09:16:00+05:30,112.3,23300,NIFTY_23300_CE_30_JAN_25.csv,2025-01-24T15:29:00+05:30,87.85,2025-01-27T09:16:00+05:30,53.25,16315.00,100.00,16215.00,
