date,source,ref,expiry,status,net_pnl,gross_pnl,charges,cum_pnl,equity,note
2025-01-02,adjust,1,2025-01-02,TRADED,-793.61,-468.0,325.61,-793.61,999206.39,
2025-01-09,adjust,2,2025-01-09,TRADED,11530.39,12409.8,879.41,10736.78,1010736.78,
2025-01-16,adjust,3,2025-01-16,TRADED,11080.37,11719.5,639.13,21817.15,1021817.15,
2025-01-23,adjust,4,2025-01-23,TRADED,9523.7,10177.05,653.35,31340.85,1031340.85,
2025-01-30,adjust,5,2025-01-30,TRADED,10006.23,10804.95,798.72,41347.08,1041347.08,
2025-02-06,adjust,6,2025-02-06,TRADED,16006.41,17132.7,1126.29,57353.49,1057353.49,
2025-02-13,adjust,7,2025-02-13,TRADED,4682.53,5666.7,984.17,62036.02,1062036.02,
2025-02-20,adjust,8,2025-02-20,TRADED,11385.45,12185.55,800.1,73421.47,1073421.47,
2025-02-27,adjust,9,2025-02-27,TRADED,9032.28,9574.5,542.22,82453.75,1082453.75,
2025-03-06,adjust,10,2025-03-06,TRADED,1226.34,2028.0,801.66,83680.09,1083680.09,
2025-03-13,adjust,11,2025-03-13,TRADED,7551.71,8063.25,511.54,91231.8,1091231.8,
2025-03-20,adjust,12,2025-03-20,TRADED,-7566.27,-6981.0,585.27,83665.53,1083665.53,
2025-03-27,adjust,13,2025-03-27,TRADED,-20403.98,-19564.35,839.63,63261.55,1063261.55,
2025-04-03,adjust,14,2025-04-03,TRADED,9373.67,10007.4,633.73,72635.22,1072635.22,
2025-04-09,adjust,15,2025-04-09,TRADED,-58825.75,-58012.5,813.25,13809.47,1013809.47,
2025-04-17,adjust,16,2025-04-17,TRADED,14403.71,15083.25,679.54,28213.18,1028213.18,
2025-04-24,adjust,17,2025-04-24,TRADED,9289.17,9818.25,529.08,37502.35,1037502.35,
2025-04-30,adjust,18,2025-04-30,TRADED,-5526.3,-5183.1,343.2,31976.05,1031976.05,
2025-05-08,adjust,19,2025-05-08,TRADED,9248.4,9839.7,591.3,41224.45,1041224.45,
2025-05-15,adjust,20,2025-05-15,TRADED,-34479.83,-33206.55,1273.28,6744.62,1006744.62,
2025-05-22,adjust,21,2025-05-22,TRADED,-1023.59,-234.0,789.59,5721.03,1005721.03,
2025-05-29,adjust,22,2025-05-29,TRADED,10845.76,11557.65,711.89,16566.79,1016566.79,
2025-06-05,adjust,23,2025-06-05,TRADED,9505.49,10130.25,624.76,26072.28,1026072.28,
2025-06-12,adjust,24,2025-06-12,TRADED,9446.94,9954.75,507.81,35519.22,1035519.22,
2025-06-19,adjust,25,2025-06-19,TRADED,14004.42,14693.25,688.83,49523.64,1049523.64,
2025-06-26,adjust,26,2025-06-26,TRADED,-9930.55,-9233.25,697.3,39593.09,1039593.09,
2025-07-03,adjust,27,2025-07-03,TRADED,9430.78,9857.25,426.47,49023.87,1049023.87,
2025-07-10,adjust,28,2025-07-10,TRADED,9482.27,9906.0,423.73,58506.14,1058506.14,
2025-07-17,adjust,29,2025-07-17,TRADED,6851.51,7312.5,460.99,65357.65,1065357.65,
2025-07-24,adjust,30,2025-07-24,TRADED,4565.02,4875.0,309.98,69922.67,1069922.67,
2025-07-31,adjust,31,2025-07-31,TRADED,7374.2,7907.25,533.05,77296.87,1077296.87,
2025-08-07,adjust,32,2025-08-07,TRADED,9245.56,9837.75,592.19,86542.43,1086542.43,
2025-08-14,adjust,33,2025-08-14,TRADED,6999.81,7575.75,575.94,93542.24,1093542.24,
2025-08-21,adjust,34,2025-08-21,TRADED,8348.68,8775.0,426.32,101890.92,1101890.92,
2025-08-28,adjust,35,2025-08-28,TRADED,4823.22,5050.5,227.28,106714.14,1106714.14,
2025-09-02,adjust,36,2025-09-02,SKIPPED,0.0,0.0,0.0,106714.14,1106714.14,no_initial_entry_strikes
2025-09-09,adjust,37,2025-09-09,TRADED,-1689.88,-1170.0,519.88,105024.26,1105024.26,
2025-09-16,adjust,38,2025-09-16,TRADED,4908.11,5070.0,161.89,109932.37,1109932.37,
2025-09-23,adjust,39,2025-09-23,SKIPPED,0.0,0.0,0.0,109932.37,1109932.37,no_initial_entry_strikes
2025-09-30,adjust,40,2025-09-30,SKIPPED,0.0,0.0,0.0,109932.37,1109932.37,no_initial_entry_strikes
2025-10-07,adjust,41,2025-10-07,TRADED,4655.11,4884.75,229.64,114587.48,1114587.48,
2025-10-14,adjust,42,2025-10-14,SKIPPED,0.0,0.0,0.0,114587.48,1114587.48,no_initial_entry_strikes
2025-10-20,adjust,43,2025-10-20,SKIPPED,0.0,0.0,0.0,114587.48,1114587.48,no_initial_entry_strikes
2025-10-28,adjust,44,2025-10-28,TRADED,-5869.52,-5460.0,409.52,108717.96,1108717.96,
2025-11-04,adjust,45,2025-11-04,TRADED,7669.88,8160.75,490.87,116387.84,1116387.84,
2025-11-11,adjust,46,2025-11-11,TRADED,4390.89,4758.0,367.11,120778.73,1120778.73,
2025-11-18,adjust,47,2025-11-18,TRADED,8165.86,8550.75,384.89,128944.59,1128944.59,
2025-11-25,adjust,48,2025-11-25,TRADED,7635.77,8102.25,466.48,136580.36,1136580.36,
2025-12-02,adjust,49,2025-12-02,TRADED,-165.32,214.5,379.82,136415.04,1136415.04,
2025-12-09,adjust,50,2025-12-09,TRADED,7066.96,7390.5,323.54,143482.0,1143482.0,
2025-12-16,adjust,51,2025-12-16,TRADED,4534.27,4904.25,369.98,148016.27,1148016.27,
2025-12-23,adjust,52,2025-12-23,SKIPPED,0.0,0.0,0.0,148016.27,1148016.27,no_initial_entry_strikes
2025-12-30,adjust,53,2025-12-30,SKIPPED,0.0,0.0,0.0,148016.27,1148016.27,no_initial_entry_strikes
