entry_date,status,skip_reason,expiry_date,lot_size,lots,qty,signal_timestamp,signal_close,spot_sma_25,spot_signal_relation,ma_gap,entry_timestamp,atm_strike,sold_side,contract_name,option_entry_open,exit_timestamp,option_exit_open,exit_reason,exit_spot_ma,gross_pnl,brokerage,net_pnl,remarks
2019-01-02,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-01-02T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-01-04,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-01-04T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-02-01,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-02-01T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-02-08,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-02-08T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-02-14,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-02-14T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-02-22,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-02-22T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-02-25,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-02-25T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-02-26,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-02-26T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-03-05,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-03-05T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-03-13,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-03-13T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-03-14,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-03-14T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-03-26,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-03-26T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-03-28,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-03-28T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
