entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked,rolls,rolls_blocked,entry_offset,entry_balance
2020-01-01,2020-01-30,2020-01-30,12200,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 12200 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-01-31,2020-02-27,2020-02-27,12050,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 12050 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-02-28,2020-03-26,2020-03-26,11350,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 11350 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-03-27,2020-04-30,2020-04-30,8950,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 8950 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-05-04,2020-05-28,2020-05-28,9450,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 9450 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-05-29,2020-06-25,2020-06-25,9450,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 9450 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-06-26,2020-07-30,2020-07-30,10350,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 10350 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-07-31,2020-08-27,2020-08-27,11050,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 11050 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-08-28,2020-09-24,2020-09-24,11600,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 11600 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-09-25,2020-10-29,2020-10-29,10900,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 10900 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-10-30,2020-11-26,2020-11-26,11700,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 11700 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2020-11-27,2020-12-31,2020-12-31,13000,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 13000 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-01-01,2021-01-28,2021-01-28,14000,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 14000 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-01-29,2021-02-25,2021-02-25,13950,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 13950 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-02-26,2021-03-25,2021-03-25,14850,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 14850 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-03-26,2021-04-29,2021-04-29,14450,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 14450 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-04-30,2021-05-27,2021-05-27,14800,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 14800 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-05-28,2021-06-24,2021-06-24,15450,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 15450 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-06-25,2021-07-29,2021-07-29,15800,75,NO,missing_entry_bar,No priceable straddle within 5 strikes of ATM 15800 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
