entry_date,status,skip_reason,expiry_date,next_trading_day,spot_signal_timestamp,spot_signal_close,spot_sma_25,spot_signal_relation,atm_strike,bought_side,contract_name,option_entry_timestamp,option_entry_open,option_exit_timestamp,option_exit_open,gross_pnl,brokerage,net_pnl,remarks
2025-01-01,TRADED,,2025-01-02,2025-01-02,2025-01-01T15:15:00+05:30,23758.7,23718.99,ABOVE_SMA,23750,CE,NIFTY_23750_CE_02_JAN_25.csv,2025-01-01T15:29:00+05:30,146.44,2025-01-02T09:16:00+05:30,136.69,-3055.00,50.00,-3105.00,
2025-01-02,TRADED,,2025-01-09,2025-01-03,2025-01-02T15:15:00+05:30,24167.95,24012.97,ABOVE_SMA,24150,CE,NIFTY_24150_CE_09_JAN_25.csv,2025-01-02T15:29:00+05:30,201.3,2025-01-03T09:16:00+05:30,183.9,-5044.00,50.00,-5094.00,
2025-01-03,TRADED,,2025-01-09,2025-01-06,2025-01-03T15:15:00+05:30,23990.15,24065.33,BELOW_SMA,24000,PE,NIFTY_24000_PE_09_JAN_25.csv,2025-01-03T15:29:00+05:30,164.3,2025-01-06T09:16:00+05:30,138.25,-7293.00,50.00,-7343.00,
2025-01-06,TRADED,,2025-01-09,2025-01-07,2025-01-06T15:15:00+05:30,23629.6,23748.89,BELOW_SMA,23650,PE,NIFTY_23650_PE_09_JAN_25.csv,2025-01-06T15:29:00+05:30,196.85,2025-01-07T09:16:00+05:30,126.3,-18863.00,50.00,-18913.00,
2025-01-07,TRADED,,2025-01-09,2025-01-08,2025-01-07T15:15:00+05:30,23694.6,23727.07,BELOW_SMA,23700,PE,NIFTY_23700_PE_09_JAN_25.csv,2025-01-07T15:29:00+05:30,118.85,2025-01-08T09:16:00+05:30,120.25,-156.00,50.00,-206.00,
2025-01-08,TRADED,,2025-01-09,2025-01-09,2025-01-08T15:15:00+05:30,23675.2,23611.72,ABOVE_SMA,23700,CE,NIFTY_23700_CE_09_JAN_25.csv,2025-01-08T15:29:00+05:30,56.6,2025-01-09T09:16:00+05:30,25.25,-8671.00,50.00,-8721.00,
2025-01-09,TRADED,,2025-01-16,2025-01-10,2025-01-09T15:15:00+05:30,23557.2,23561.38,BELOW_SMA,23550,PE,NIFTY_23550_PE_16_JAN_25.csv,2025-01-09T15:29:00+05:30,151.25,2025-01-10T09:16:00+05:30,163.8,2743.00,50.00,2693.00,
2025-01-10,TRADED,,2025-01-16,2025-01-13,2025-01-10T15:15:00+05:30,23437.35,23475.84,BELOW_SMA,23450,PE,NIFTY_23450_PE_16_JAN_25.csv,2025-01-10T15:29:00+05:30,152.25,2025-01-13T09:16:00+05:30,272.14,30651.40,50.00,30601.40,
2025-01-13,TRADED,,2025-01-16,2025-01-14,2025-01-13T15:15:00+05:30,23088.7,23198.22,BELOW_SMA,23100,PE,NIFTY_23100_PE_16_JAN_25.csv,2025-01-13T15:29:00+05:30,115.85,2025-01-14T09:16:00+05:30,68.4,-12857.00,50.00,-12907.00,
2025-01-14,TRADED,,2025-01-16,2025-01-15,2025-01-14T15:15:00+05:30,23206.85,23183.34,ABOVE_SMA,23200,CE,NIFTY_23200_CE_16_JAN_25.csv,2025-01-14T15:29:00+05:30,114.85,2025-01-15T09:16:00+05:30,114.2,-689.00,50.00,-739.00,
2025-01-15,TRADED,,2025-01-16,2025-01-16,2025-01-15T15:15:00+05:30,23228.1,23219.45,ABOVE_SMA,23250,CE,NIFTY_23250_CE_16_JAN_25.csv,2025-01-15T15:29:00+05:30,39.4,2025-01-16T09:16:00+05:30,87.35,11947.00,50.00,11897.00,
2025-01-16,TRADED,,2025-01-23,2025-01-17,2025-01-16T15:15:00+05:30,23350.8,23312.68,ABOVE_SMA,23350,CE,NIFTY_23350_CE_23_JAN_25.csv,2025-01-16T15:29:00+05:30,193.3,2025-01-17T09:16:00+05:30,124.15,-18499.00,50.00,-18549.00,
2025-01-17,TRADED,,2025-01-23,2025-01-20,2025-01-17T15:15:00+05:30,23203.1,23197.05,ABOVE_SMA,23200,CE,NIFTY_23200_CE_23_JAN_25.csv,2025-01-17T15:29:00+05:30,181.45,2025-01-20T09:16:00+05:30,198.9,4017.00,50.00,3967.00,
2025-01-20,TRADED,,2025-01-23,2025-01-21,2025-01-20T15:15:00+05:30,23337.05,23312.84,ABOVE_SMA,23350,CE,NIFTY_23350_CE_23_JAN_25.csv,2025-01-20T15:29:00+05:30,142.94,2025-01-21T09:16:00+05:30,153.0,2095.60,50.00,2045.60,
2025-01-21,TRADED,,2025-01-23,2025-01-22,2025-01-21T15:15:00+05:30,23053.05,23199.63,BELOW_SMA,23050,PE,NIFTY_23050_PE_23_JAN_25.csv,2025-01-21T15:29:00+05:30,104.0,2025-01-22T09:16:00+05:30,88.7,-4498.00,50.00,-4548.00,
2025-01-22,TRADED,,2025-01-23,2025-01-23,2025-01-22T15:15:00+05:30,23161.75,23072.46,ABOVE_SMA,23150,CE,NIFTY_23150_CE_23_JAN_25.csv,2025-01-22T15:29:00+05:30,68.15,2025-01-23T09:16:00+05:30,28.85,-10738.00,50.00,-10788.00,
2025-01-23,TRADED,,2025-01-30,2025-01-24,2025-01-23T15:15:00+05:30,23216.3,23224.13,BELOW_SMA,23200,PE,NIFTY_23200_PE_30_JAN_25.csv,2025-01-23T15:29:00+05:30,158.05,2025-01-24T09:16:00+05:30,155.1,-1287.00,50.00,-1337.00,
2025-01-24,TRADED,,2025-01-30,2025-01-27,2025-01-24T15:15:00+05:30,23090.35,23198.75,BELOW_SMA,23100,PE,NIFTY_23100_PE_30_JAN_25.csv,2025-01-24T15:29:00+05:30,159.0,2025-01-27T09:16:00+05:30,250.9,23374.00,50.00,23324.00,
2025-01-27,TRADED,,2025-01-30,2025-01-28,2025-01-27T15:15:00+05:30,22816.85,22877.90,BELOW_SMA,22800,PE,NIFTY_22800_PE_30_JAN_25.csv,2025-01-27T15:29:00+05:30,136.85,2025-01-28T09:16:00+05:30,79.25,-15496.00,50.00,-15546.00,
2025-01-28,TRADED,,2025-01-30,2025-01-29,2025-01-28T15:15:00+05:30,22976.3,22987.69,BELOW_SMA,23000,PE,NIFTY_23000_PE_30_JAN_25.csv,2025-01-28T15:29:00+05:30,144.0,2025-01-29T09:16:00+05:30,120.8,-6552.00,50.00,-6602.00,
2025-01-29,TRADED,,2025-01-30,2025-01-30,2025-01-29T15:15:00+05:30,23176.2,23113.26,ABOVE_SMA,23200,CE,NIFTY_23200_CE_30_JAN_25.csv,2025-01-29T15:29:00+05:30,128.9,2025-01-30T09:16:00+05:30,107.2,-6162.00,50.00,-6212.00,
2025-01-30,TRADED,,2025-02-06,2025-01-31,2025-01-30T15:15:00+05:30,23297.95,23239.75,ABOVE_SMA,23300,CE,NIFTY_23300_CE_06_FEB_25.csv,2025-01-30T15:29:00+05:30,344.0,2025-01-31T09:16:00+05:30,341.4,-1196.00,50.00,-1246.00,
2025-01-31,TRADED,,2025-02-06,2025-02-01,2025-01-31T15:15:00+05:30,23533.85,23442.03,ABOVE_SMA,23550,CE,NIFTY_23550_CE_06_FEB_25.csv,2025-01-31T15:29:00+05:30,259.5,2025-02-01T09:16:00+05:30,248.05,-3497.00,50.00,-3547.00,
2025-02-01,TRADED,,2025-02-06,2025-02-03,2025-02-01T15:15:00+05:30,23495.3,23508.35,BELOW_SMA,23500,PE,NIFTY_23500_PE_06_FEB_25.csv,2025-02-01T15:29:00+05:30,143.75,2025-02-03T09:16:00+05:30,246.85,26286.00,50.00,26236.00,
2025-02-03,TRADED,,2025-02-06,2025-02-04,2025-02-03T15:15:00+05:30,23359.7,23313.21,ABOVE_SMA,23350,CE,NIFTY_23350_CE_06_FEB_25.csv,2025-02-03T15:29:00+05:30,133.6,2025-02-04T09:16:00+05:30,191.65,14573.00,50.00,14523.00,
2025-02-04,TRADED,,2025-02-06,2025-02-05,2025-02-04T15:15:00+05:30,23707.7,23595.98,ABOVE_SMA,23700,CE,NIFTY_23700_CE_06_FEB_25.csv,2025-02-04T15:29:00+05:30,91.6,2025-02-05T09:16:00+05:30,115.25,5629.00,50.00,5579.00,
2025-02-05,TRADED,,2025-02-06,2025-02-06,2025-02-05T15:15:00+05:30,23686.75,23743.89,BELOW_SMA,23700,PE,NIFTY_23700_PE_06_FEB_25.csv,2025-02-05T15:29:00+05:30,89.45,2025-02-06T09:16:00+05:30,59.45,-8320.00,50.00,-8370.00,
2025-02-06,TRADED,,2025-02-13,2025-02-07,2025-02-06T15:15:00+05:30,23628.05,23611.54,ABOVE_SMA,23650,CE,NIFTY_23650_CE_13_FEB_25.csv,2025-02-06T15:29:00+05:30,191.8,2025-02-07T09:16:00+05:30,194.0,52.00,50.00,2.00,
