date,source,ref,expiry,status,net_pnl,gross_pnl,charges,cum_pnl,equity,note
2025-01-01,adjust,1,2025-01-02,TRADED,-3631.5,-3451.5,180.0,-3631.5,996368.5,
2025-01-02,expiry,1,2025-01-02,TRADED,-3395.45,-3246.75,148.7,-7026.95,992973.05,
2025-01-08,adjust,2,2025-01-09,TRADED,8997.77,9818.25,820.48,1970.82,1001970.82,
2025-01-09,expiry,2,2025-01-09,TRADED,8687.62,8794.5,106.88,10658.44,1010658.44,
2025-01-15,adjust,3,2025-01-16,TRADED,11080.37,11719.5,639.13,21738.81,1021738.81,
2025-01-16,expiry,3,2025-01-16,TRADED,5046.26,5148.0,101.74,26785.07,1026785.07,
2025-01-22,adjust,4,2025-01-23,TRADED,9523.7,10177.05,653.35,36308.77,1036308.77,
2025-01-23,expiry,4,2025-01-23,TRADED,-2860.67,-2749.5,111.17,33448.1,1033448.1,
2025-01-29,adjust,5,2025-01-30,TRADED,-3445.62,-2874.3,571.32,30002.48,1030002.48,
2025-01-30,expiry,5,2025-01-30,TRADED,30915.24,31053.75,138.51,60917.72,1060917.72,
2025-02-05,adjust,6,2025-02-06,TRADED,14739.08,15816.45,1077.37,75656.8,1075656.8,
2025-02-06,expiry,6,2025-02-06,TRADED,1759.92,1872.0,112.08,77416.72,1077416.72,
2025-02-12,adjust,7,2025-02-13,TRADED,2932.92,3763.5,830.58,80349.64,1080349.64,
2025-02-13,expiry,7,2025-02-13,TRADED,-893.09,-772.2,120.89,79456.55,1079456.55,
2025-02-19,adjust,8,2025-02-20,TRADED,8666.56,9358.05,691.49,88123.11,1088123.11,
2025-02-20,expiry,8,2025-02-20,TRADED,12367.89,12480.0,112.11,100491.0,1100491.0,
2025-02-25,adjust,9,2025-02-27,TRADED,9032.28,9574.5,542.22,109523.28,1109523.28,
2025-02-27,expiry,9,2025-02-27,TRADED,3196.38,3295.5,99.12,112719.66,1112719.66,
2025-03-05,adjust,10,2025-03-06,TRADED,-234.86,567.45,802.31,112484.8,1112484.8,
2025-03-06,expiry,10,2025-03-06,TRADED,-8380.94,-8268.0,112.94,104103.86,1104103.86,
2025-03-12,adjust,11,2025-03-13,TRADED,7551.71,8063.25,511.54,111655.57,1111655.57,
2025-03-13,expiry,11,2025-03-13,TRADED,6418.62,6522.75,104.13,118074.19,1118074.19,
2025-03-19,adjust,12,2025-03-20,TRADED,-9437.32,-8960.25,477.07,108636.87,1108636.87,
2025-03-20,expiry,12,2025-03-20,TRADED,-490.66,-380.25,110.41,108146.21,1108146.21,
2025-03-26,adjust,13,2025-03-27,TRADED,-21769.61,-21036.6,733.01,86376.6,1086376.6,
2025-03-27,expiry,13,2025-03-27,TRADED,14889.51,15005.25,115.74,101266.11,1101266.11,
2025-04-02,adjust,14,2025-04-03,TRADED,7438.99,7967.7,528.71,108705.1,1108705.1,
2025-04-03,expiry,14,2025-04-03,TRADED,8453.92,8560.5,106.58,117159.02,1117159.02,
2025-04-08,adjust,15,2025-04-09,TRADED,-68346.76,-67938.0,408.76,48812.26,1048812.26,
2025-04-09,expiry,15,2025-04-09,TRADED,29433.52,29569.8,136.28,78245.78,1078245.78,
2025-04-16,adjust,16,2025-04-17,TRADED,6800.17,7224.75,424.58,85045.95,1085045.95,
2025-04-17,expiry,16,2025-04-17,TRADED,-946.47,-838.5,107.97,84099.48,1084099.48,
2025-04-23,adjust,17,2025-04-24,TRADED,5960.0,6436.95,476.95,90059.48,1090059.48,
2025-04-24,expiry,17,2025-04-24,TRADED,-4018.76,-3909.75,109.01,86040.72,1086040.72,
2025-04-29,adjust,18,2025-04-30,TRADED,-5526.3,-5183.1,343.2,80514.42,1080514.42,
2025-04-30,expiry,18,2025-04-30,TRADED,-465.32,-360.75,104.57,80049.1,1080049.1,
2025-05-07,adjust,19,2025-05-08,TRADED,9248.4,9839.7,591.3,89297.5,1089297.5,
2025-05-08,expiry,19,2025-05-08,TRADED,-1946.27,-1842.75,103.52,87351.23,1087351.23,
2025-05-14,adjust,20,2025-05-15,TRADED,-38494.35,-37428.3,1066.05,48856.88,1048856.88,
2025-05-15,expiry,20,2025-05-15,TRADED,1806.96,1930.5,123.54,50663.84,1050663.84,
2025-05-21,adjust,21,2025-05-22,TRADED,5117.12,5762.25,645.13,55780.96,1055780.96,
2025-05-22,expiry,21,2025-05-22,TRADED,25988.85,26120.25,131.4,81769.81,1081769.81,
2025-05-28,adjust,22,2025-05-29,TRADED,8367.98,8971.95,603.97,90137.79,1090137.79,
2025-05-29,expiry,22,2025-05-29,TRADED,1542.45,1657.5,115.05,91680.24,1091680.24,
2025-06-04,adjust,23,2025-06-05,TRADED,9505.49,10130.25,624.76,101185.73,1101185.73,
2025-06-05,expiry,23,2025-06-05,TRADED,290.37,399.75,109.38,101476.1,1101476.1,
2025-06-11,adjust,24,2025-06-12,TRADED,9446.94,9954.75,507.81,110923.04,1110923.04,
2025-06-12,expiry,24,2025-06-12,TRADED,-452.2,-341.25,110.95,110470.84,1110470.84,
2025-06-18,adjust,25,2025-06-19,TRADED,8912.65,9603.75,691.1,119383.49,1119383.49,
2025-06-19,expiry,25,2025-06-19,TRADED,9641.74,9750.0,108.26,129025.23,1129025.23,
2025-06-25,adjust,26,2025-06-26,TRADED,-11558.61,-10861.5,697.11,117466.62,1117466.62,
2025-06-26,expiry,26,2025-06-26,TRADED,-2190.05,-2076.75,113.3,115276.57,1115276.57,
2025-07-02,adjust,27,2025-07-03,TRADED,9430.78,9857.25,426.47,124707.35,1124707.35,
2025-07-03,expiry,27,2025-07-03,TRADED,-2099.37,-1989.0,110.37,122607.98,1122607.98,
2025-07-09,adjust,28,2025-07-10,TRADED,9482.27,9906.0,423.73,132090.25,1132090.25,
2025-07-10,expiry,28,2025-07-10,TRADED,1035.1,1140.75,105.65,133125.35,1133125.35,
2025-07-16,adjust,29,2025-07-17,TRADED,6851.51,7312.5,460.99,139976.86,1139976.86,
2025-07-17,expiry,29,2025-07-17,TRADED,4851.56,4953.0,101.44,144828.42,1144828.42,
2025-07-23,adjust,30,2025-07-24,TRADED,4565.02,4875.0,309.98,149393.44,1149393.44,
2025-07-24,expiry,30,2025-07-24,TRADED,-941.04,-838.5,102.54,148452.4,1148452.4,
2025-07-30,adjust,31,2025-07-31,TRADED,7374.2,7907.25,533.05,155826.6,1155826.6,
2025-07-31,expiry,31,2025-07-31,TRADED,823.1,936.0,112.9,156649.7,1156649.7,
2025-08-06,adjust,32,2025-08-07,TRADED,9245.56,9837.75,592.19,165895.26,1165895.26,
2025-08-07,expiry,32,2025-08-07,TRADED,817.31,926.25,108.94,166712.57,1166712.57,
2025-08-13,adjust,33,2025-08-14,TRADED,6999.81,7575.75,575.94,173712.38,1173712.38,
2025-08-14,expiry,33,2025-08-14,TRADED,7441.39,7546.5,105.11,181153.77,1181153.77,
2025-08-20,adjust,34,2025-08-21,TRADED,8348.68,8775.0,426.32,189502.45,1189502.45,
2025-08-21,expiry,34,2025-08-21,TRADED,4997.58,5099.25,101.67,194500.03,1194500.03,
2025-08-26,adjust,35,2025-08-28,TRADED,4823.22,5050.5,227.28,199323.25,1199323.25,
2025-08-28,expiry,35,2025-08-28,TRADED,173.86,282.75,108.89,199497.11,1199497.11,
2025-09-01,adjust,36,2025-09-02,SKIPPED,0.0,0.0,0.0,199497.11,1199497.11,no_initial_entry_strikes
2025-09-02,expiry,36,2025-09-02,TRADED,-5877.63,-5772.0,105.63,193619.48,1193619.48,
2025-09-08,adjust,37,2025-09-09,TRADED,-1689.88,-1170.0,519.88,191929.6,1191929.6,
2025-09-09,expiry,37,2025-09-09,TRADED,5747.27,5850.0,102.73,197676.87,1197676.87,
2025-09-15,adjust,38,2025-09-16,TRADED,4908.11,5070.0,161.89,202584.98,1202584.98,
2025-09-16,expiry,38,2025-09-16,TRADED,-765.73,-663.0,102.73,201819.25,1201819.25,
2025-09-22,adjust,39,2025-09-23,SKIPPED,0.0,0.0,0.0,201819.25,1201819.25,no_initial_entry_strikes
2025-09-23,expiry,39,2025-09-23,TRADED,-921.69,-819.0,102.69,200897.56,1200897.56,
2025-09-29,adjust,40,2025-09-30,SKIPPED,0.0,0.0,0.0,200897.56,1200897.56,no_initial_entry_strikes
2025-09-30,expiry,40,2025-09-30,TRADED,2466.06,2574.0,107.94,203363.62,1203363.62,
2025-10-06,adjust,41,2025-10-07,TRADED,4655.11,4884.75,229.64,208018.73,1208018.73,
2025-10-07,expiry,41,2025-10-07,TRADED,-135.04,-29.25,105.79,207883.69,1207883.69,
