entry_date,status,expiry_date,previous_trading_day,previous_close,spot_entry_timestamp,spot_entry_open,gap_points,strategy_direction,atm_strike,side,contract_file,direction,entry_timestamp,entry_open,exit_timestamp,exit_close,raw_points_pnl,raw_gross_pnl,slippage_points,slippage_loss,brokerage,net_pnl,remarks
2025-01-02,TRADED,2025-01-02,2025-01-01,23758.7,2025-01-02T09:15:00+05:30,23783.0,24.30,SHORT_STRADDLE,23800,CE,NIFTY_23800_CE_02_JAN_25.csv,SHORT,2025-01-02T09:15:00+05:30,100.0,2025-01-02T09:15:00+05:30,108.3,-8.30,-2158.00,4.00,1040.00,50.00,-3248.00,
2025-01-02,TRADED,2025-01-02,2025-01-01,23758.7,2025-01-02T09:15:00+05:30,23783.0,24.30,SHORT_STRADDLE,23800,PE,NIFTY_23800_PE_02_JAN_25.csv,SHORT,2025-01-02T09:15:00+05:30,105.0,2025-01-02T09:15:00+05:30,110.75,-5.75,-1495.00,4.00,1040.00,50.00,-2585.00,
2025-01-03,TRADED,2025-01-09,2025-01-02,24167.95,2025-01-03T09:15:00+05:30,24196.4,28.45,SHORT_STRADDLE,24200,CE,NIFTY_24200_CE_09_JAN_25.csv,SHORT,2025-01-03T09:15:00+05:30,176.0,2025-01-03T09:15:00+05:30,159.5,16.50,4290.00,4.00,1040.00,50.00,3200.00,
2025-01-03,TRADED,2025-01-09,2025-01-02,24167.95,2025-01-03T09:15:00+05:30,24196.4,28.45,SHORT_STRADDLE,24200,PE,NIFTY_24200_PE_09_JAN_25.csv,SHORT,2025-01-03T09:15:00+05:30,199.0,2025-01-03T09:15:00+05:30,214.1,-15.10,-3926.00,4.00,1040.00,50.00,-5016.00,
2025-01-06,TRADED,2025-01-09,2025-01-03,23990.15,2025-01-06T09:15:00+05:30,24045.8,55.65,SHORT_STRADDLE,24050,CE,NIFTY_24050_CE_09_JAN_25.csv,SHORT,2025-01-06T09:15:00+05:30,144.69,2025-01-06T09:15:00+05:30,139.35,5.34,1388.40,4.00,1040.00,50.00,298.40,
2025-01-06,TRADED,2025-01-09,2025-01-03,23990.15,2025-01-06T09:15:00+05:30,24045.8,55.65,SHORT_STRADDLE,24050,PE,NIFTY_24050_PE_09_JAN_25.csv,SHORT,2025-01-06T09:15:00+05:30,166.0,2025-01-06T09:15:00+05:30,165.95,0.05,13.00,4.00,1040.00,50.00,-1077.00,
2025-01-07,TRADED,2025-01-09,2025-01-06,23629.6,2025-01-07T09:15:00+05:30,23679.9,50.30,SHORT_STRADDLE,23700,CE,NIFTY_23700_CE_09_JAN_25.csv,SHORT,2025-01-07T09:15:00+05:30,171.1,2025-01-07T09:15:00+05:30,193.15,-22.05,-5733.00,4.00,1040.00,50.00,-6823.00,
2025-01-07,TRADED,2025-01-09,2025-01-06,23629.6,2025-01-07T09:15:00+05:30,23679.9,50.30,SHORT_STRADDLE,23700,PE,NIFTY_23700_PE_09_JAN_25.csv,SHORT,2025-01-07T09:15:00+05:30,207.4,2025-01-07T09:15:00+05:30,149.0,58.40,15184.00,4.00,1040.00,50.00,14094.00,
2025-01-08,TRADED,2025-01-09,2025-01-07,23694.6,2025-01-08T09:15:00+05:30,23746.65,52.05,SHORT_STRADDLE,23750,CE,NIFTY_23750_CE_09_JAN_25.csv,SHORT,2025-01-08T09:15:00+05:30,100.0,2025-01-08T09:15:00+05:30,81.25,18.75,4875.00,4.00,1040.00,50.00,3785.00,
2025-01-08,TRADED,2025-01-09,2025-01-07,23694.6,2025-01-08T09:15:00+05:30,23746.65,52.05,SHORT_STRADDLE,23750,PE,NIFTY_23750_PE_09_JAN_25.csv,SHORT,2025-01-08T09:15:00+05:30,142.65,2025-01-08T09:15:00+05:30,150.8,-8.15,-2119.00,4.00,1040.00,50.00,-3209.00,
2025-01-09,TRADED,2025-01-09,2025-01-08,23675.2,2025-01-09T09:15:00+05:30,23674.75,-0.45,LONG_STRADDLE,23650,CE,NIFTY_23650_CE_09_JAN_25.csv,LONG,2025-01-09T09:15:00+05:30,77.0,2025-01-09T09:15:00+05:30,42.75,-34.25,-8905.00,4.00,1040.00,50.00,-9995.00,
2025-01-09,TRADED,2025-01-09,2025-01-08,23675.2,2025-01-09T09:15:00+05:30,23674.75,-0.45,LONG_STRADDLE,23650,PE,NIFTY_23650_PE_09_JAN_25.csv,LONG,2025-01-09T09:15:00+05:30,49.55,2025-01-09T09:15:00+05:30,63.3,13.75,3575.00,4.00,1040.00,50.00,2485.00,
2025-01-10,TRADED,2025-01-16,2025-01-09,23557.2,2025-01-10T09:15:00+05:30,23551.9,-5.30,LONG_STRADDLE,23550,CE,NIFTY_23550_CE_16_JAN_25.csv,LONG,2025-01-10T09:15:00+05:30,210.0,2025-01-10T09:15:00+05:30,186.25,-23.75,-6175.00,4.00,1040.00,50.00,-7265.00,
2025-01-10,TRADED,2025-01-16,2025-01-09,23557.2,2025-01-10T09:15:00+05:30,23551.9,-5.30,LONG_STRADDLE,23550,PE,NIFTY_23550_PE_16_JAN_25.csv,LONG,2025-01-10T09:15:00+05:30,174.95,2025-01-10T09:15:00+05:30,167.45,-7.50,-1950.00,4.00,1040.00,50.00,-3040.00,
2025-01-13,TRADED,2025-01-16,2025-01-10,23437.35,2025-01-13T09:15:00+05:30,23195.4,-241.95,LONG_STRADDLE,23200,CE,NIFTY_23200_CE_16_JAN_25.csv,LONG,2025-01-13T09:15:00+05:30,180.0,2025-01-13T09:15:00+05:30,200.15,20.15,5239.00,4.00,1040.00,50.00,4149.00,
2025-01-13,TRADED,2025-01-16,2025-01-10,23437.35,2025-01-13T09:15:00+05:30,23195.4,-241.95,LONG_STRADDLE,23200,PE,NIFTY_23200_PE_16_JAN_25.csv,LONG,2025-01-13T09:15:00+05:30,115.0,2025-01-13T09:15:00+05:30,139.3,24.30,6318.00,4.00,1040.00,50.00,5228.00,
2025-01-14,TRADED,2025-01-16,2025-01-13,23088.7,2025-01-14T09:15:00+05:30,23165.9,77.20,SHORT_STRADDLE,23150,CE,NIFTY_23150_CE_16_JAN_25.csv,SHORT,2025-01-14T09:15:00+05:30,142.94,2025-01-14T09:15:00+05:30,161.3,-18.36,-4773.60,4.00,1040.00,50.00,-5863.60,
2025-01-14,TRADED,2025-01-16,2025-01-13,23088.7,2025-01-14T09:15:00+05:30,23165.9,77.20,SHORT_STRADDLE,23150,PE,NIFTY_23150_PE_16_JAN_25.csv,SHORT,2025-01-14T09:15:00+05:30,91.05,2025-01-14T09:15:00+05:30,83.85,7.20,1872.00,4.00,1040.00,50.00,782.00,
2025-01-15,TRADED,2025-01-16,2025-01-14,23206.85,2025-01-15T09:15:00+05:30,23250.45,43.60,SHORT_STRADDLE,23250,CE,NIFTY_23250_CE_16_JAN_25.csv,SHORT,2025-01-15T09:15:00+05:30,88.75,2025-01-15T09:15:00+05:30,85.35,3.40,884.00,4.00,1040.00,50.00,-206.00,
2025-01-15,TRADED,2025-01-16,2025-01-14,23206.85,2025-01-15T09:15:00+05:30,23250.45,43.60,SHORT_STRADDLE,23250,PE,NIFTY_23250_PE_16_JAN_25.csv,SHORT,2025-01-15T09:15:00+05:30,65.15,2025-01-15T09:15:00+05:30,78.3,-13.15,-3419.00,4.00,1040.00,50.00,-4509.00,
2025-01-16,TRADED,2025-01-16,2025-01-15,23228.1,2025-01-16T09:15:00+05:30,23377.25,149.15,SHORT_STRADDLE,23400,CE,NIFTY_23400_CE_16_JAN_25.csv,SHORT,2025-01-16T09:15:00+05:30,30.0,2025-01-16T09:15:00+05:30,22.2,7.80,2028.00,4.00,1040.00,50.00,938.00,
2025-01-16,TRADED,2025-01-16,2025-01-15,23228.1,2025-01-16T09:15:00+05:30,23377.25,149.15,SHORT_STRADDLE,23400,PE,NIFTY_23400_PE_16_JAN_25.csv,SHORT,2025-01-16T09:15:00+05:30,98.9,2025-01-16T09:15:00+05:30,104.2,-5.30,-1378.00,4.00,1040.00,50.00,-2468.00,
2025-01-17,TRADED,2025-01-23,2025-01-16,23350.8,2025-01-17T09:15:00+05:30,23277.1,-73.70,LONG_STRADDLE,23300,CE,NIFTY_23300_CE_23_JAN_25.csv,LONG,2025-01-17T09:15:00+05:30,189.0,2025-01-17T09:15:00+05:30,145.65,-43.35,-11271.00,4.00,1040.00,50.00,-12361.00,
2025-01-17,TRADED,2025-01-23,2025-01-16,23350.8,2025-01-17T09:15:00+05:30,23277.1,-73.70,LONG_STRADDLE,23300,PE,NIFTY_23300_PE_23_JAN_25.csv,LONG,2025-01-17T09:15:00+05:30,173.0,2025-01-17T09:15:00+05:30,207.85,34.85,9061.00,4.00,1040.00,50.00,7971.00,
2025-01-20,TRADED,2025-01-23,2025-01-17,23203.1,2025-01-20T09:15:00+05:30,23290.4,87.30,SHORT_STRADDLE,23300,CE,NIFTY_23300_CE_23_JAN_25.csv,SHORT,2025-01-20T09:15:00+05:30,161.0,2025-01-20T09:15:00+05:30,142.55,18.45,4797.00,4.00,1040.00,50.00,3707.00,
2025-01-20,TRADED,2025-01-23,2025-01-17,23203.1,2025-01-20T09:15:00+05:30,23290.4,87.30,SHORT_STRADDLE,23300,PE,NIFTY_23300_PE_23_JAN_25.csv,SHORT,2025-01-20T09:15:00+05:30,159.94,2025-01-20T09:15:00+05:30,167.1,-7.16,-1861.60,4.00,1040.00,50.00,-2951.60,
2025-01-21,TRADED,2025-01-23,2025-01-20,23337.05,2025-01-21T09:15:00+05:30,23421.65,84.60,SHORT_STRADDLE,23400,CE,NIFTY_23400_CE_23_JAN_25.csv,SHORT,2025-01-21T09:15:00+05:30,149.0,2025-01-21T09:15:00+05:30,126.95,22.05,5733.00,4.00,1040.00,50.00,4643.00,
2025-01-21,TRADED,2025-01-23,2025-01-20,23337.05,2025-01-21T09:15:00+05:30,23421.65,84.60,SHORT_STRADDLE,23400,PE,NIFTY_23400_PE_23_JAN_25.csv,SHORT,2025-01-21T09:15:00+05:30,125.05,2025-01-21T09:15:00+05:30,135.5,-10.45,-2717.00,4.00,1040.00,50.00,-3807.00,
2025-01-22,TRADED,2025-01-23,2025-01-21,23053.05,2025-01-22T09:15:00+05:30,23099.15,46.10,SHORT_STRADDLE,23100,CE,NIFTY_23100_CE_23_JAN_25.csv,SHORT,2025-01-22T09:15:00+05:30,123.9,2025-01-22T09:15:00+05:30,108.25,15.65,4069.00,4.00,1040.00,50.00,2979.00,
